1. Do you use Facebook app on your phone?,2. How frequently do you use Facebook app on your phone?,3. How long have you been using Facebook app?,What do you feel about if this case happens?,,What do you feel about if this case happens?,What do you feel about if this case happens?,What do you feel about if this case happens?,What do you feel about if this case happens?,What do you feel about if this case happens?,At least 1,Half,"Which do you care more: the privacy that we ask you in above six questions, or the privacy that can be controlled by app permission?","12. Why do you care more for app permission or privacy settings if you chose the first or third option for question 11. Otherwise, please also clarify the reason for your choice in question 11.","13. For the question 11, if you chose the first option, write down ""privacy setting is better"", if you chose the third, write down ""app permission is better"". Otherwise, write down ""they are the same""."
Yes,Several times every day,3 and more years,Upset,4,Upset,Upset,Very upset,Very upset,Very upset,,,I care more about the privacy that is circled in the figure,With choice 1 in question #11 I can easily change my settings within the app to make it more private and secure. I am upset knowing my personal messages and contact database is being seen when it's private and shouldn't be allowed by any app to have as a requirement to give them permission in order to use their app.,app permission is better
Yes,Several times every week,1-2 years,Neutral,5,Neutral,Neutral,Neutral,Neutral,Neutral,,,I don't care either of them,I have nothing to hide so Idon't care.,they are the same
Yes,Several times every day,1-2 years,Upset,1,Neutral,It might be okay,Upset,It might be okay,Neutral,,,It's the same level for me,i'm quite afraid of both of them,they are the same
Yes,Several times every week,3 and more years,Upset,1,Upset,Neutral,I don't care,I don't care,Neutral,,,It's the same level for me,i didnt choose 1st or 3rd,they are the same
Yes,Several times every day,3 and more years,Very upset,1,Very upset,Upset,Neutral,Upset,Upset,,,It's the same level for me,"I care about my privacy, no matter what it is. I don't want everyone being able to see things or everyone being able to find me. I also don't know why facebook has to have certain permissions and makes me wonder about my privacy.",they are the same
Yes,Several times every week,6-12 months,Neutral,0,It might be okay,It might be okay,Neutral,Neutral,It might be okay,,,I don't care either of them,I don't really care to be honest,they are the same
Yes,Several times every week,1-2 years,Neutral,0,Very upset,Upset,It might be okay,Upset,It might be okay,,,I care more about the privacy that is described in above six questions,I don't want my personal info to be public,privacy setting is better
Yes,Several times every day,1-2 years,Upset,3,Upset,Very upset,It might be okay,Very upset,Upset,,,I care more about the privacy that is described in above six questions,There is more ways for people to access your privacy,privacy setting is better
Yes,Several times every day,3 and more years,Upset,1,It might be okay,Upset,Upset,Very upset,It might be okay,,,I care more about the privacy that is circled in the figure,"I care more about whether Facebook can access my texts and contacts because that feels like a direct invasion of my private property. I'm uncomfortable with the app permissions, but the privacy settings is a complete deal breaker.",app permission is better
Yes,Several times every week,1-2 years,Upset,1,Neutral,Neutral,Neutral,Neutral,It might be okay,,,It's the same level for me,Privacy in general is important to me.,they are the same
Yes,Several times every week,3 and more years,Very upset,5,Upset,Upset,I don't care,Upset,Upset,,,It's the same level for me,Its invading my privacy ,they are the same
Yes,Several times every day,3 and more years,Very upset,3,Upset,Neutral,Neutral,Upset,Neutral,,,I don't care either of them,I don't really care honestly,they are the same
Yes,Several times every day,3 and more years,Neutral,0,It might be okay,Neutral,Upset,Neutral,Neutral,,,I care more about the privacy that is circled in the figure,I think the privacy settings are always more important than the permission.,app permission is better
Yes,Several times every day,3 and more years,Very upset,1,Very upset,Neutral,Very upset,It might be okay,Very upset,,,I care more about the privacy that is described in above six questions,It would be an invasion of privacy if our information was out there not knowing it was.,privacy setting is better
Yes,Several times every week,3 and more years,Upset,4,Neutral,Neutral,Upset,Upset,Upset,,,I care more about the privacy that is described in above six questions,I do not like someone controlling my rights to privacy.,privacy setting is better
Yes,Several times every week,1-2 years,Upset,1,Upset,Upset,Upset,Upset,Upset,,,It's the same level for me,"I care about all of them
",They are the same
Yes,Several times every week,1-6 months,Very upset,1,Very upset,Neutral,Neutral,Neutral,Neutral,,,It's the same level for me,It does not make a difference to me,they are the same
Yes,Several times every week,3 and more years,Upset,1,Very upset,It might be okay,It might be okay,Very upset,Very upset,,,It's the same level for me,"Doesn't matter if I have the option to change the security settings, those attributes should not be allowed on Facebook. ",they are the same
Yes,Several times every week,3 and more years,Upset,1,Neutral,Neutral,It might be okay,Neutral,Neutral,,,I care more about the privacy that is circled in the figure,I feel that the messages on my phone and my contacts are more private.,app permission is better
Yes,Several times every day,3 and more years,Upset,1,Neutral,Upset,Neutral,Neutral,Upset,,,It's the same level for me,Same level of concern for both.,they are the same
Yes,Several times every week,1-2 years,Upset,1,Neutral,Neutral,Neutral,Upset,Neutral,,,It's the same level for me,I think both are equally important,they are the same
Yes,Several times every day,3 and more years,Neutral,0,I don't care,Neutral,I don't care,It might be okay,It might be okay,,,It's the same level for me,I think that some of the permissions help to make the app function better ,they are the same
Yes,Several times every week,3 and more years,Very upset,1,Neutral,Very upset,Upset,Very upset,Upset,,,It's the same level for me,I want no people looking on my stuff that only certain people that I chose to see,they are the same
Yes,Several times every day,1-2 years,Neutral,0,Upset,Neutral,Upset,Upset,Upset,,,It's the same level for me,I feel they are equally able to breach your information. ,they are the same
Yes,Several times every day,3 and more years,I don't care,0,Upset,Very upset,Neutral,Very upset,Upset,,,It's the same level for me,"Both tell me the same thing, just less steps in the app",they are the same
Yes,Several times every day,3 and more years,I don't care,0,I don't care,I don't care,It might be okay,It might be okay,I don't care,,,It's the same level for me,it is good to know how to change your privacy settings. There may be things you don't want to make public.,they are the same
Yes,Several times every day,3 and more years,It might be okay,0,Upset,Upset,Upset,Upset,Upset,,,It's the same level for me,I care about them both equal.  I want to protect myself,they are the same
Yes,Several times every day,3 and more years,Neutral,0,Upset,Upset,Very upset,Upset,Neutral,,,It's the same level for me,Security is important no matter what the situation,they are the same
Yes,Several times every day,3 and more years,Very upset,1,Very upset,Very upset,I don't care,Very upset,Very upset,,,I care more about the privacy that is circled in the figure,As long as i can still control them i am fine . If they change it there would be a problem . ,app permission is better
Yes,Several times every day,3 and more years,Upset,1,Upset,Very upset,Very upset,Very upset,Very upset,,,I care more about the privacy that is described in above six questions,privacy setting is better,privacy setting is better
Yes,Several times every week,3 and more years,It might be okay,3,It might be okay,It might be okay,Upset,Neutral,Neutral,,,It's the same level for me,I have the same care level for each,they are the same
Yes,Several times every week,3 and more years,It might be okay,0,Upset,Neutral,Upset,Upset,Very upset,,,I care more about the privacy that is described in above six questions,The idea of the camera AND microphone running on its own is disturbing to me.,privacy setting is better
Yes,Several times every day,3 and more years,Upset,1,Upset,Upset,Upset,Very upset,Very upset,,,It's the same level for me,I like my privacy,they are the same
Yes,Several times every day,1-2 years,Very upset,1,Neutral,Neutral,Neutral,Neutral,Neutral,,,I care more about the privacy that is circled in the figure,Because FB can't be trusted.,app permission is better
Yes,Several times every day,3 and more years,It might be okay,0,Upset,Upset,Neutral,It might be okay,It might be okay,,,It's the same level for me,It makes no difference to me,they are the same
Yes,Several times every week,1-6 months,Upset,1,Neutral,Upset,Neutral,Upset,Upset,,,I care more about the privacy that is described in above six questions,It allows me to control what people see ,privacy setting is better
Yes,A few times a year,3 and more years,Very upset,1,Very upset,Very upset,Upset,Very upset,Very upset,,,I care more about the privacy that is described in above six questions,I consider it very private information,privacy setting is better
Yes,Several times every day,3 and more years,Upset,1,Upset,Neutral,Neutral,Upset,Very upset,,,It's the same level for me,"I am a private person, and I don't really like people knowing all that much about me.",they are the same
Yes,Several times every week,1-6 months,Neutral,0,Upset,It might be okay,Neutral,Neutral,Neutral,,,I don't care either of them,they are the same,they are the same
Yes,Several times every week,1-6 months,Neutral,0,Upset,Neutral,It might be okay,Upset,Upset,,,It's the same level for me,seems more important,they are the same
Yes,Several times every day,3 and more years,Neutral,0,Neutral,Neutral,Neutral,It might be okay,I don't care,,,I don't care either of them,YA ITS ONLY ENTERTAINMENT I USE,THEY ARE THE SAME
Yes,Several times every day,3 and more years,Very upset,1,It might be okay,Neutral,It might be okay,Neutral,Upset,,,I don't care either of them,they are the same,they are the same
Yes,Several times every day,3 and more years,I don't care,0,It might be okay,Upset,I don't care,Upset,Very upset,,,I care more about the privacy that is circled in the figure,"I do not think that any app has the right to read my private texts with the people I know. I don't even let humans read my private messages, why should an app be allowed to? ",app permission is better
Yes,Several times every day,3 and more years,Upset,1,Upset,Upset,It might be okay,I don't care,Upset,,,I care more about the privacy that is described in above six questions,I reality I care about all my privacy. I didn't give them consent to show my private settings online or on Facebook  unless I set them myself.,privacy setting is better
Yes,Several times every day,3 and more years,Upset,1,Upset,Upset,Very upset,Upset,Upset,,,I care more about the privacy that is described in above six questions,Privacy is very important and people don't need to exploit people's identity.,privacy setting is better
Yes,Several times every day,6-12 months,Upset,1,Upset,Neutral,It might be okay,Upset,Upset,,,I care more about the privacy that is described in above six questions,"Before I sign up for any app or website, I want to know if my privacy is going to be invaded or if any information of mine is passed to other sources",Privacy setting is better
Yes,Several times every day,3 and more years,I don't care,0,I don't care,I don't care,I don't care,I don't care,I don't care,,,It's the same level for me,It makes no difference to me.  I am comfortable with the default seetings.,they are the same
Yes,Several times every day,3 and more years,I don't care,0,I don't care,I don't care,I don't care,I don't care,I don't care,,,I don't care either of them,IT MAKES NO DIFFERENCE TO ME.,they are the same
Yes,Several times every week,6-12 months,It might be okay,0,I don't care,I don't care,Upset,Neutral,Neutral,,,I care more about the privacy that is circled in the figure,I don't want an app changing my contacts.,app permission is better
Yes,Several times every day,3 and more years,I don't care,1,It might be okay,Upset,Neutral,It might be okay,Neutral,,,I care more about the privacy that is circled in the figure,I don't want anyone who a text isn't intended for to be able to read a text.,app permission is better
Yes,Several times every week,0-31 days,Very upset,1,It might be okay,Neutral,Neutral,Very upset,Very upset,,,It's the same level for me,Both are important enough for me to care about.,they are the same
Yes,Several times every day,3 and more years,Neutral,0,Neutral,Neutral,It might be okay,Upset,Neutral,,,It's the same level for me,I just feel like it would just be the same.,app permission is better
Yes,Several times every week,3 and more years,Neutral,0,Upset,Neutral,Upset,Upset,Neutral,,,I care more about the privacy that is circled in the figure,I can set up privacy settings then I have controll,privacy setting is better
Yes,Several times every week,1-6 months,Neutral,0,Neutral,Neutral,Neutral,Neutral,Neutral,,,It's the same level for me,no comment,app permission is better
Yes,Several times every month,1-6 months,Neutral,0,Neutral,Neutral,It might be okay,It might be okay,Upset,,,I care more about the privacy that is circled in the figure,privacy is important,privacy setting is better
Yes,Several times every day,1-2 years,Neutral,0,Upset,Upset,It might be okay,Upset,Upset,,,I care more about the privacy that is described in above six questions,THIRD PERSON CANNOT HACK MY ACCOUNT SO I PROVIDE PRIVACY SECURITY.,I CHOOSE PRIVACY SETTING AND APP PERMISSION IS BETTER.
Yes,Several times every day,1-2 years,Upset,1,Neutral,Upset,Upset,It might be okay,Upset,,,I care more about the privacy that is described in above six questions,I WILL PROVIDE PRVACY SECURITY IN MY ACCOUNT,I CHOOSE PRIVACY SETTING AND APP PERMISSION IS BETTER
Yes,Several times every day,3 and more years,I don't care,0,I don't care,I don't care,I don't care,I don't care,I don't care,,,I don't care either of them,I don't care if anyone sees that info. If someone wants to find that stuff then they are going to find a way regardless.,privacy setting is better
Yes,Several times every day,1-2 years,It might be okay,0,It might be okay,I don't care,It might be okay,It might be okay,It might be okay,,,I care more about the privacy that is circled in the figure,I care more about reading the messages,privacy setting is better
Yes,Several times every week,1-6 months,Upset,1,It might be okay,Upset,Neutral,Neutral,Neutral,,,I care more about the privacy that is described in above six questions,ITS GOOD,GOOD
Yes,Several times every day,3 and more years,Upset,1,Very upset,Neutral,Neutral,Neutral,Neutral,,,I care more about the privacy that is circled in the figure,I AM IMPORTANT THAT ONE CAN HAVE CONTROLLED WHO SEES AND DOES NOT SEE FACEBOOK ACTIVITIES,privacy setting is better
Yes,Several times every day,1-2 years,Neutral,0,It might be okay,It might be okay,It might be okay,It might be okay,It might be okay,,,It's the same level for me,I DONOT WORRY,FACE BOOKS IN INDECIPLINE PERSON IN PROBLEM
Yes,Several times every day,3 and more years,It might be okay,0,Upset,It might be okay,Neutral,It might be okay,Very upset,,,I care more about the privacy that is circled in the figure,11,11
Yes,Several times every day,3 and more years,Upset,1,Upset,Neutral,It might be okay,It might be okay,It might be okay,,,I care more about the privacy that is described in above six questions,considers that privacy is something of the utmost importance,app permission is better
Yes,Several times every week,3 and more years,It might be okay,0,Neutral,It might be okay,Neutral,It might be okay,Neutral,,,I care more about the privacy that is circled in the figure,i expect more privacy,privacy setting is better
Yes,very rare,3 and more years,Very upset,2,It might be okay,Very upset,Upset,Very upset,Neutral,,,I care more about the privacy that is described in above six questions,I'm not sure what you're asking here,they are the same
Yes,Several times every week,3 and more years,Upset,1,It might be okay,Very upset,Very upset,Very upset,Very upset,,,I care more about the privacy that is described in above six questions,i want my information to be protected,they are the same
Yes,Several times every day,3 and more years,I don't care,0,It might be okay,It might be okay,It might be okay,It might be okay,It might be okay,,,It's the same level for me,PRIVACY IN VERY NICE AND IMPORTANT THE BETTER ,PRIVACY SETTING IS BETTER THERE ARE THE SAME
Yes,Several times every day,3 and more years,Neutral,0,Upset,Neutral,Neutral,Upset,Upset,,,I care more about the privacy that is circled in the figure,its a real personal level,they are the same
Yes,Several times every day,1-2 years,Neutral,0,Neutral,Neutral,Neutral,Neutral,Neutral,,,I care more about the privacy that is described in above six questions,These app's are helps our mobile phone,they are the same
Yes,Several times every month,6-12 months,Neutral,0,Upset,Neutral,Upset,It might be okay,Upset,,,It's the same level for me,DONT HAVE PRIVACY OPTION,app permission is better
Yes,Several times every day,3 and more years,Neutral,0,Upset,Upset,Neutral,Neutral,Neutral,,,I care more about the privacy that is described in above six questions,"because pribacy is a right that we all have as citizens is the United States of America
",they are the same
No,Several times every day,1-2 years,Upset,1,Neutral,Neutral,It might be okay,Upset,Neutral,,,I care more about the privacy that is circled in the figure,I choose third option,privacy setting is better
Yes,Several times every day,6-12 months,Upset,1,It might be okay,It might be okay,Upset,Neutral,It might be okay,,,I care more about the privacy that is circled in the figure,"It is my privacy. So, it should be protected",they are the same
Yes,Several times every day,3 and more years,It might be okay,0,Neutral,Neutral,Neutral,Neutral,Neutral,,,I care more about the privacy that is circled in the figure,"I care more about the privacy that is circled in the figure, because it is our personal.","privacy setting is better, app permission is better, they are the same"
Yes,Several times every day,3 and more years,Upset,1,Upset,Upset,Upset,Upset,Upset,,,I care more about the privacy that is described in above six questions,because i need to secret my contacts,because i need to secret my contacts
Yes,Several times every week,1-6 months,Neutral,0,Neutral,Neutral,Neutral,Neutral,Neutral,,,It's the same level for me,YES BEST,app permission is better
Yes,Several times every week,1-6 months,Neutral,0,Neutral,It might be okay,It might be okay,It might be okay,Neutral,,,I care more about the privacy that is circled in the figure,to secure ,privacy setting is better
Yes,Several times every day,3 and more years,I don't care,0,Neutral,It might be okay,It might be okay,I don't care,Upset,,,I care more about the privacy that is circled in the figure,I do t want it to have access to my co facts and messages,they are the same
Yes,Several times every day,3 and more years,It might be okay,0,Upset,It might be okay,Upset,It might be okay,Very upset,,,I care more about the privacy that is circled in the figure,Because I don't want anyone listing in on me,they are the same
Yes,Several times every month,6-12 months,Neutral,0,Neutral,Neutral,Upset,Upset,Upset,,,I care more about the privacy that is circled in the figure,Because I don't want my personal information to get misused,they are the same
Yes,Several times every day,3 and more years,Upset,1,Upset,Upset,Very upset,Upset,Very upset,,,I care more about the privacy that is described in above six questions,because i need  my contacts to be secret,because i need  my contacts to be secret
Yes,Several times every month,1-6 months,Upset,1,Neutral,Neutral,It might be okay,Neutral,It might be okay,,,I care more about the privacy that is circled in the figure,its an privacy ,privacy setting is better
Yes,Several times every day,1-6 months,Very upset,1,Upset,Very upset,Very upset,Very upset,Very upset,,,I care more about the privacy that is described in above six questions,good,god
Yes,Several times every day,3 and more years,Upset,1,Upset,Upset,Very upset,It might be okay,It might be okay,,,I care more about the privacy that is circled in the figure,I dont want some unknown people to track and spy me,they are the same
Yes,Several times every day,3 and more years,Neutral,0,Neutral,Neutral,Neutral,It might be okay,Neutral,,,I care more about the privacy that is described in above six questions,NO THANKS,NO THANKS
Yes,Several times every day,3 and more years,Neutral,0,Neutral,It might be okay,It might be okay,Neutral,Neutral,,,I care more about the privacy that is described in above six questions,NO THANKS,NO THANKS
Yes,Several times every week,1-6 months,Very upset,1,Neutral,Very upset,Neutral,Very upset,Upset,,,It's the same level for me,very usefull,app permission is better
No,Several times every week,6-12 months,Neutral,3,It might be okay,It might be okay,I don't care,It might be okay,Neutral,,,I care more about the privacy that is circled in the figure,Na,they are the same
Yes,Several times every day,6-12 months,Neutral,0,Upset,It might be okay,Neutral,Neutral,Upset,,,I care more about the privacy that is circled in the figure,n/a,n/a
Yes,Several times every day,3 and more years,It might be okay,0,Neutral,Neutral,I don't care,I don't care,Upset,,,I care more about the privacy that is described in above six questions,I wouldn't want anyone getting my phone number unless it's giving to them directly from me.,they are the same
Yes,Several times every day,3 and more years,Neutral,0,It might be okay,I don't care,It might be okay,I don't care,Neutral,,,I care more about the privacy that is circled in the figure,MY PRIVACY IS VERY IMPORTANT FOR ME,privacy setting is better
Yes,Several times every day,3 and more years,Very upset,1,Neutral,I don't care,Neutral,Upset,Neutral,,,It's the same level for me,Ok,app permission is better
Yes,Several times every week,3 and more years,Neutral,0,Neutral,Neutral,Neutral,Neutral,It might be okay,,,I care more about the privacy that is described in above six questions,because i like permission to certain things on my phone,they are the same
Yes,Several times every day,3 and more years,Upset,1,Upset,Upset,Neutral,Neutral,Very upset,,,It's the same level for me,because it is better for me,app permission is better
Yes,Several times every day,3 and more years,I don't care,0,Neutral,It might be okay,Neutral,It might be okay,Neutral,,,I care more about the privacy that is circled in the figure,If it's something that is too big of a deal I would just delete my facebook.,they are the same
Yes,Several times every day,3 and more years,Neutral,5,Neutral,Neutral,Neutral,Neutral,Upset,,,I care more about the privacy that is described in above six questions,BECAUSE IT'S PERSONNAL ,they are the same
Yes,Several times every day,3 and more years,Upset,2,Neutral,Neutral,Neutral,Upset,Upset,,,I care more about the privacy that is circled in the figure,"I chose ""care more about the privacy in the figure"" because I feel like those settings are even worse and more invasive than the ones listed, and I would not like to have those things linked to my account.",privacy setting is better
Yes,Several times every week,1-6 months,It might be okay,0,It might be okay,It might be okay,It might be okay,It might be okay,It might be okay,,,I care more about the privacy that is circled in the figure,Because they're very important.,they are the same
Yes,Several times every day,3 and more years,I don't care,0,It might be okay,I don't care,Upset,Neutral,Very upset,,,I care more about the privacy that is circled in the figure,It's my personal contacts ,they are the same
Yes,Several times every day,3 and more years,I don't care,5,Upset,I don't care,Neutral,I don't care,Neutral,,,I care more about the privacy that is described in above six questions,I like protecting my profile. There are a lot of bullies out there that can hurt your soul so it is important to be able to keep them out.,they are the same
Yes,Several times every day,1-2 years,Neutral,0,Neutral,Neutral,Neutral,It might be okay,Upset,,,It's the same level for me,good,privacy setting is better
Yes,Several times every week,3 and more years,Neutral,3,Neutral,Neutral,Neutral,Neutral,Neutral,,,It's the same level for me,ok,app permission is better
Yes,Several times every day,3 and more years,I don't care,0,I don't care,I don't care,I don't care,I don't care,I don't care,,,I don't care either of them,it doesnt matter to me,it doesnt matter to me
Yes,Several times every week,1-2 years,Neutral,0,Neutral,Very upset,Neutral,Upset,Upset,,,I care more about the privacy that is circled in the figure,To much personal information out there that can be used to harm other and their finances and privacy,they are the same
Yes,Several times every day,3 and more years,It might be okay,0,I don't care,I don't care,It might be okay,It might be okay,It might be okay,,,I care more about the privacy that is circled in the figure,These keep your account secure,they are the same
Yes,Several times every day,3 and more years,Neutral,0,Neutral,Upset,It might be okay,Neutral,Neutral,,,I care more about the privacy that is circled in the figure,Is the same,they are the same
No,Several times every month,1-2 years,It might be okay,0,Neutral,It might be okay,I don't care,Neutral,I don't care,,,I don't care either of them,i dont pay attention to them,app permission is better
Yes,A few times a year,6-12 months,Neutral,0,Upset,Neutral,Upset,I don't care,I don't care,,,I don't care either of them,11,11
Yes,Several times every month,1-2 years,Very upset,1,I don't care,Neutral,Very upset,Very upset,Very upset,,,I care more about the privacy that is circled in the figure,It is because it is reading my personal information ,privacy setting is better
Yes,Several times every day,3 and more years,Very upset,1,Very upset,Very upset,Neutral,Neutral,Very upset,,,I care more about the privacy that is circled in the figure,it isnt fair,privacy setting is better
Yes,Several times every week,6-12 months,Upset,1,Neutral,Neutral,Neutral,Upset,Upset,,,It's the same level for me,made the most sense,app permission is better
Yes,Several times every day,3 and more years,I don't care,0,I don't care,Neutral,Neutral,I don't care,Neutral,,,I care more about the privacy that is circled in the figure,"I don't want anyone who a sms wasn't directed to, to be able to see it.",they are the same
Yes,Several times every week,1-6 months,Upset,1,Upset,Very upset,Neutral,Neutral,Very upset,,,It's the same level for me,because this used only person.,privacy setting is better
Yes,Several times every day,3 and more years,Neutral,0,It might be okay,I don't care,I don't care,I don't care,I don't care,,,I don't care either of them,It does not matter honestly.,privacy setting is better
Yes,Several times every day,1-2 years,Neutral,3,Neutral,Neutral,Neutral,It might be okay,It might be okay,,,It's the same level for me,Its what is safer,app permission is better
Yes,Several times every day,0-31 days,Upset,1,Upset,Neutral,Upset,Upset,Upset,,,I care more about the privacy that is circled in the figure,to safety,app permission is better
Yes,Several times every week,0-31 days,Very upset,1,It might be okay,Neutral,Neutral,Very upset,Very upset,,,It's the same level for me,Both are important enough for me to care about.,they are the same
Yes,Several times every day,0-31 days,Upset,1,Upset,Upset,Upset,Upset,Very upset,,,I care more about the privacy that is circled in the figure,I DONT WANT EVERYONE READING OR KNOWING EVERYTHING ABOUT ME.,app permission is better
